x,y,z,g,wa,wr
3.0,62.0,31.0,0,34.0,90
2.0,62.0,31.0,0,34.0,90
4.0,62.0,31.0,0,34.0,90
7.0,62.0,31.0,0,34.0,90
20.0,64.0,32.0,0,33.0,90
34.0,67.0,37.0,0,32.0,90
44.0,69.0,47.0,0,31.0,90
53.0,68.0,57.0,0,30.0,90
59.0,66.0,68.0,0,28.0,90
61.0,64.0,77.0,0,26.0,90
62.0,63.0,83.0,0,25.0,90
62.0,63.0,87.0,0,24.0,90
61.0,63.0,89.0,0,23.0,90
60.0,63.0,90.0,0,22.0,90
60.0,63.0,91.0,0,22.0,90
59.0,63.0,91.0,0,22.0,90
58.0,64.0,91.0,0,22.0,90
58.0,64.0,91.0,0,22.0,90
53.0,64.0,90.0,0,23.0,90
39.0,64.0,91.0,0,23.0,90
30.0,64.0,91.0,0,24.0,90
22.0,64.0,91.0,0,24.0,90
19.0,63.0,91.0,0,24.0,90
19.0,62.0,92.0,0,25.0,90
21.0,60.0,93.0,0,25.0,90
20.0,59.0,94.0,0,26.0,90
18.0,59.0,94.0,0,25.0,90
14.0,59.0,95.0,0,22.0,90
10.0,59.0,95.0,13,18.0,90
8.0,59.0,95.0,61,16.0,90
7.0,59.0,96.0,93,14.0,90
7.0,60.0,95.0,110,14.0,90
7.0,60.0,95.0,118,14.0,90
10.0,60.0,95.0,123,14.0,90
21.0,60.0,96.0,126,14.0,90
31.0,59.0,96.0,128,12.0,90
32.0,57.0,98.0,129,8.0,90
31.0,54.0,101.0,130,4.0,90
30.0,52.0,105.0,130,1.0,90
29.0,52.0,108.0,130,0.0,90
28.0,53.0,109.0,130,-1.0,90
28.0,54.0,113.0,130,-2.0,90
28.0,56.0,117.0,130,-3.0,90
29.0,57.0,123.0,130,-3.0,90
29.0,58.0,129.0,130,-4.0,90
27.0,58.0,133.0,130,-5.0,90
24.0,59.0,135.0,130,-5.0,90
22.0,59.0,137.0,130,-2.0,90
17.0,59.0,139.0,130,3.0,90
11.0,59.0,139.0,130,10.0,90
9.0,59.0,139.0,130,17.0,90
7.0,60.0,139.0,130,24.0,90
5.0,60.0,138.0,130,29.0,90
4.0,60.0,136.0,130,33.0,90
6.0,60.0,135.0,130,35.0,90
8.0,61.0,134.0,130,37.0,90
11.0,64.0,133.0,130,35.0,90
